name,dob,country,nationalTeam,battingStyle,bowlingStyle
Asim Kamal,31-05-1976,Pakistan,Pakistan,Left-hand bat,Off-break
Asim Saeed,05-10-1979,United Arab Emirates,United Arab Emirates,Right-hand bat,Left-arm medium
Aslam Khokhar,05-01-1920,India,Pakistan,Right-hand bat,Leg-break
Asoka de Silva,28-03-1956,Sri Lanka,Sri Lanka,Left-hand bat,Leg-break googly
Assad Fudadin,01-08-1985,Guyana,Guyana,Left-hand bat,Right-arm medium-fast
Ata-ur-Rehman,28-03-1975,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Athar Ali Khan,10-02-1962,Pakistan,Bangladesh,Right-hand bat,Right-arm medium
Athol Rowan,07-02-1921,South Africa,South Africa,Right-hand bat,Off-break
Atholl McKinnon,20-08-1932,South Africa,South Africa,Right-hand bat,Slow left-arm
Athula Samarasekera,05-08-1961,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Atif Rauf,03-03-1964,Pakistan,Pakistan,Right-hand bat,Off-break
Atiq-uz-Zaman,20-07-1975,Pakistan,Pakistan,Right-hand bat,Off-break
Atse Buurman,21-03-1982,Netherlands,Netherlands,Right-hand bat,
Atul Bedade,24-06-1966,India,India,Left-hand bat,Right-arm medium
Atul Wassan,23-03-1968,India,India,Right-hand bat,Right-arm fast-medium
Aubrey Faulkner,17-12-1881,South Africa,South Africa,Right-hand bat,Leg-break googly
Aubrey Smith,21-07-1863,England,England,Right-hand bat,Right-arm fast
Audley Miller,19-10-1869,England,England,Right-hand bat,Right-arm medium-fast
Austin Codrington,22-08-1975,Jamaica,Canada,Right-hand bat,Right-arm medium-fast
Austin Matthews,03-05-1904,Wales,England,Right-hand bat,Right-arm fast-medium
Austin Richards,14-11-1983,Antigua and barbuda,West Indies,Left-hand bat,Right-arm medium
Avishka Gunawardene,26-05-1977,Sri Lanka,Sri Lanka,Left-hand bat,
Awais Zia,01-09-1986,Pakistan,Pakistan,Left-hand bat,Off-break
Azam Khan,01-03-1969,Pakistan,Pakistan,Right-hand bat,
Azeem Hafeez,29-07-1963,Pakistan,Pakistan,Left-hand bat,Left-arm fast-medium
Azeem Pitcher,31-07-1980,Trinidad and Tobago,Bermuda,Left-hand bat,
Azeem Rafiq,27-02-1991,Pakistan,,Right-hand bat,Off-break
Azhar Ali,19-02-1985,Pakistan,Pakistan,Right-hand bat,Leg-break
Azhar Hossain,15-03-1964,Pakistan,Bangladesh,Right-hand bat,Off-break
Azhar Khan,07-09-1955,Pakistan,Pakistan,Right-hand bat,Off-break
Azhar Mahmood,28-02-1975,Pakistan,Pakistan,Right-hand bat,Right-arm fast-medium
Azhar Saeed,25-12-1970,Pakistan,United Arab Emirates,Left-hand bat,Slow left-arm
Azmat Rana,03-11-1951,Pakistan,Pakistan,Left-hand bat,Off-break
Babar Hayat,05-01-1992,Pakistan,Hong Kong,Right-hand bat,Right-arm medium
Babu Meman,26-06-1952,Zambia,Zimbabwe,Right-hand bat,Off-break
Bal Dani,24-05-1933,India,India,Right-hand bat,"Right-arm fast-medium, Leg-break, Off-break"
Balaji Rao,04-03-1978,India,Canada,Left-hand bat,Leg-break googly
Baloo Gupte,30-08-1934,India,India,Right-hand bat,Leg-break googly
Balwinder Sandhu,03-08-1956,India,India,Right-hand bat,Right-arm medium-fast
Bandula Warnapura,01-03-1953,Sri Lanka,Sri Lanka,Right-hand bat,Right-arm medium
Bapu Nadkarni,04-04-1933,India,India,Left-hand bat,Slow left-arm
Baqa Jilani,20-07-1911,India,India,Right-hand bat,Right-arm medium
Barlow Carkeek,17-10-1878,Australia,Australia,Left-hand bat,
Barney Rogers,20-08-1982,Zimbabwe,Zimbabwe,Left-hand bat,Off-break
Barrington Browne,16-09-1967,Guyana,West Indies,Right-hand bat,Right-arm fast
Barry Hadlee,14-12-1941,New Zealand,New Zealand,Right-hand bat,
Barry Jarman,17-02-1936,Australia,Australia,Right-hand bat,
Barry Knight,18-02-1938,England,England,Right-hand bat,Right-arm fast-medium
Barry Milburn,24-11-1943,New Zealand,New Zealand,Right-hand bat,
Barry Richards,21-07-1945,South Africa,South Africa,Right-hand bat,Off-break
Barry Seebaran,12-09-1972,Canada,Canada,Right-hand bat,Slow left-arm
Barry Shepherd,23-04-1937,Australia,Australia,Left-hand bat,Off-break
Barry Sinclair,23-10-1936,New Zealand,New Zealand,Right-hand bat,Right-arm
Barry Wood,26-12-1942,England,England,Right-hand bat,Right-arm medium
Barto Bartlett,10-03-1906,Barbados,West Indies,Right-hand bat,
Bas Zuiderent,03-03-1977,Netherlands,Netherlands,Right-hand bat,Right-arm medium
Basanta Regmi,06-04-1986,Nepal,Nepal,Left-hand bat,Slow left-arm
Basil Butcher,03-09-1933,Guyana,West Indies,Right-hand bat,Leg-break
Basil D'Oliveira,04-10-1931,South Africa,England,Right-hand bat,"Right-arm medium, Off-break"
Basil Grieve,28-05-1864,England,England,Right-hand bat,
Basil Williams,21-11-1949,Jamaica,West Indies,Right-hand bat,
Basit Ali,13-12-1970,Pakistan,Pakistan,Right-hand bat,Off-break
Bazid Khan,25-03-1981,Pakistan,Pakistan,Right-hand bat,Off-break
Beau Casson,07-12-1982,Australia,Australia,Right-hand bat,Chinaman
Ben Barnett,23-03-1908,Australia,Australia,Left-hand bat,
Ben Cooper,10-02-1992,Australia,Netherlands,Left-hand bat,Right-arm medium
Ben Cutting,30-01-1987,Australia,Australia,Right-hand bat,Right-arm fast
Ben Hilfenhaus,15-03-1983,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ben Hollioake,11-11-1977,Australia,England,Right-hand bat,Right-arm fast-medium
Ben Laughlin,03-10-1982,Australia,Australia,Right-hand bat,Right-arm fast-medium
Ben Phillips,30-09-1974,England,,Right-hand bat,Right-arm fast-medium
Ben Rohrer,26-03-1981,Australia,Australia,Left-hand bat,Right-arm medium
Ben Sealey,12-08-1899,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm medium
Ben Stokes,04-06-1991,New Zealand,England,Left-hand bat,Right-arm fast-medium
Berend Westdijk,05-03-1985,Netherlands,Netherlands,Right-hand bat,Right-arm medium-fast
Berkeley Gaskin,21-03-1908,Guyana,West Indies,Right-hand bat,Right-arm medium
Bernard Bosanquet,13-10-1877,England,England,Right-hand bat,"Right-arm fast, Leg-break googly"
Bernard Julien,13-03-1950,Trinidad and Tobago,West Indies,Right-hand bat,"Left-arm fast-medium, Chinaman, Slow left-arm"
Bernard Loots,19-04-1979,South Africa,Netherlands,Right-hand bat,Right-arm medium
Bernard Tancred,20-08-1865,South Africa,South Africa,Right-hand bat,Right-arm medium
Bert Hopkins,03-05-1874,Australia,Australia,Right-hand bat,Right-arm fast-medium
Bert Ironmonger,07-04-1882,Australia,Australia,Left-hand bat,"Left-arm medium, Slow left-arm"
Bert Oldfield,09-09-1894,Australia,Australia,Right-hand bat,
Bert Strudwick,28-01-1880,England,England,Right-hand bat,
Bert Sutcliffe,17-11-1923,New Zealand,New Zealand,Left-hand bat,Slow left-arm
Bertie Clarke,07-04-1918,Barbados,West Indies,Right-hand bat,Leg-break googly
Beuran Hendricks,08-06-1990,South Africa,South Africa,Left-hand bat,Left-arm fast-medium
Bevan Congdon,11-02-1938,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Bevan Griggs,29-03-1978,New Zealand,,Right-hand bat,
Bhagwat Chandrasekhar,17-05-1945,India,India,Right-hand bat,Leg-break
Bharat Arun,14-12-1962,India,India,Right-hand bat,Right-arm medium
Bharath Reddy,12-11-1954,India,India,Right-hand bat,
Bhupinder Singh,01-04-1965,India,India,Right-hand bat,Right-arm fast-medium
Bhuvneshwar Kumar,05-02-1990,India,India,Right-hand bat,Right-arm fast-medium
Biddy Anderson,26-04-1874,South Africa,South Africa,Right-hand bat,
Bilawal Bhatti,17-09-1991,Pakistan,Pakistan,Right-hand bat,Right-arm medium-fast
Bill Athey,27-09-1957,England,England,Right-hand bat,Off-break
Bill Bell,05-09-1931,New Zealand,New Zealand,Right-hand bat,Leg-break
Bill Bowes,25-07-1908,England,England,Right-hand bat,"Right-arm fast-medium, Right-arm medium"
Bill Bradley,02-01-1875,England,England,Right-hand bat,Right-arm fast
Bill Brockwell,21-01-1865,England,England,Right-hand bat,Right-arm fast-medium
Bill Brown,31-07-1912,Australia,Australia,Right-hand bat,Off-break
Bill Copson,27-04-1908,England,England,Right-hand bat,Right-arm fast-medium
Bill Edrich,26-03-1916,England,England,Right-hand bat,"Right-arm fast-medium, Off-break"
Bill Farrimond,23-05-1903,England,England,Right-hand bat,
Bill Hitch,07-05-1886,England,England,Right-hand bat,Right-arm fast
Bill Howell,29-12-1869,Australia,Australia,Left-hand bat,Right-arm medium
Bill Hunt,26-08-1908,Australia,Australia,Left-hand bat,Slow left-arm
Bill Johnston,26-02-1922,Australia,Australia,Left-hand bat,"Left-arm fast-medium, Slow left-arm"
Bill Lawry,11-02-1937,Australia,Australia,Left-hand bat,Left-arm medium
Bill Lockwood,25-03-1868,England,England,Right-hand bat,Right-arm fast
Bill Lundie,15-03-1888,South Africa,South Africa,Right-hand bat,Right-arm fast
Bill Merritt,18-08-1908,New Zealand,New Zealand,Right-hand bat,Leg-break googly
Bill O'Reilly,20-12-1905,Australia,Australia,Left-hand bat,Leg-break googly
Bill Playle,01-12-1938,New Zealand,New Zealand,Right-hand bat,Off-break
Bill Ponsford,19-10-1900,Australia,Australia,Right-hand bat,Right-arm medium
Bill Storer,25-01-1867,England,England,Right-hand bat,Leg-break
Bill Voce,08-08-1909,England,England,Right-hand bat,Left-arm fast-medium
Bill Watson,31-01-1931,Australia,Australia,Right-hand bat,
Bill Whitty,15-08-1886,Australia,Australia,Right-hand bat,Left-arm fast-medium
Bill Woodfull,22-08-1897,Australia,Australia,Right-hand bat,
Billy Barnes,27-05-1852,England,England,Right-hand bat,Right-arm fast-medium
Billy Bates,19-11-1855,England,England,Right-hand bat,Off-break
Billy Frank,23-11-1872,South Africa,South Africa,Right-hand bat,Right-arm medium
Billy Griffith,16-06-1914,England,England,Right-hand bat,
Billy Gunn,04-12-1858,England,England,Right-hand bat,"Right-arm slow, Right-arm slow underarm"
Billy Ibadulla,20-12-1935,India,Pakistan,Right-hand bat,"Right-arm medium, Off-break"
Billy Midwinter,19-06-1851,England,England,Right-hand bat,Right-arm medium roundarm
Billy Murdoch,18-10-1854,Australia,England,Right-hand bat,
Billy Newham,12-12-1860,England,England,Right-hand bat,
Billy Stelling,30-06-1969,South Africa,Netherlands,Right-hand bat,Right-arm fast-medium
Billy Wade,18-06-1914,South Africa,South Africa,Right-hand bat,
Billy Zulch,02-01-1886,South Africa,South Africa,Right-hand bat,Right-arm medium
Binod Bhandari,25-01-1990,Nepal,Nepal,Right-hand bat,Right-arm
Bishan Singh Bedi,25-09-1946,India,India,Right-hand bat,Slow left-arm
BJ Watling,09-07-1985,South Africa,New Zealand,Right-hand bat,
Bjorn Kotze,11-12-1978,Namibia,Namibia,Right-hand bat,Right-arm fast-medium
Blair Hartland,22-10-1966,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Blair Pocock,18-06-1971,New Zealand,New Zealand,Right-hand bat,Right-arm slow
Blessing Mahwire,31-07-1982,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Bob Appleyard,27-06-1924,England,England,Right-hand bat,"Right-arm medium, Off-break"
Bob Barber,26-09-1935,England,England,Left-hand bat,Leg-break googly
Bob Berry,29-01-1926,England,England,Left-hand bat,Slow left-arm
Bob Blair,23-06-1932,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Bob Catterall,10-07-1900,South Africa,South Africa,Right-hand bat,Right-arm medium
Bob Cottam,16-10-1944,England,England,Right-hand bat,Right-arm fast-medium
Bob Cowper,05-10-1940,Australia,Australia,Left-hand bat,Off-break
Bob Crisp,28-05-1911,India,South Africa,Right-hand bat,Right-arm fast
Bob Cunis,05-01-1941,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Bob Holland,19-10-1946,Australia,Australia,Right-hand bat,Leg-break googly
Bob Massie,14-04-1947,Australia,Australia,Left-hand bat,Right-arm medium-fast
Bob McLeod,19-01-1868,Australia,Australia,Left-hand bat,Right-arm medium
Bob Newson,02-12-1910,South Africa,South Africa,Right-hand bat,Right-arm fast
Bob Simpson,03-02-1936,Australia,Australia,Right-hand bat,Leg-break googly
Bob Taylor,17-07-1941,England,England,Right-hand bat,Right-arm medium
Bob Willis,30-05-1949,England,England,Right-hand bat,Right-arm fast
Bob Woolmer,14-05-1948,India,England,Right-hand bat,Right-arm medium
Bob Wyatt,02-05-1901,England,England,Right-hand bat,Right-arm medium
Bobby Abel,30-11-1857,England,England,Right-hand bat,Off-break
Bobby Peel,12-02-1857,England,England,Left-hand bat,Slow left-arm
Bobby Rao,11-08-1954,India,India,Right-hand bat,Leg-break
Boeta Dippenaar,14-06-1977,South Africa,South Africa,Right-hand bat,Off-break
Bonnor Middleton,30-09-1865,England,South Africa,Right-hand bat,Left-arm slow-medium
Boyd Rankin,05-07-1984,Ireland,Ireland,Left-hand bat,Right-arm fast-medium
Brad Haddin,23-10-1977,Australia,Australia,Right-hand bat,
Brad Hodge,29-12-1974,Australia,Australia,Right-hand bat,Off-break
Brad Hogg,06-02-1971,Australia,Australia,Left-hand bat,Chinaman
Brad Kruger,17-09-1988,South Africa,Netherlands,Right-hand bat,Right-arm fast-medium
Brad Patton,09-11-1979,New Zealand,,Left-hand bat,Right-arm medium-fast
Brad Williams,20-11-1974,Australia,Australia,Right-hand bat,Right-arm fast
Brad Young,23-02-1973,Australia,Australia,Right-hand bat,Slow left-arm
Brandon Bess,13-12-1987,Guyana,West Indies,Right-hand bat,Right-arm fast-medium
Bransby Cooper,15-03-1844,India,Australia,Right-hand bat,
Brendan Nash,14-12-1977,Australia,West Indies,Left-hand bat,"Slow left-arm, Left-arm medium"
Brendan Taylor,06-02-1986,Zimbabwe,Zimbabwe,Right-hand bat,Off-break
Brendon Bracewell,14-09-1959,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Brendon Diamanti,30-04-1981,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Brendon Julian,10-08-1970,New Zealand,Australia,Right-hand bat,Left-arm fast-medium
Brendon Kuruppu,05-01-1962,Sri Lanka,Sri Lanka,Right-hand bat,
Brendon McCullum,27-09-1981,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Brent Arnel,03-01-1979,New Zealand,New Zealand,Right-hand bat,Right-arm medium-fast
Brenton Parchment,24-06-1982,Jamaica,West Indies,Right-hand bat,Off-break
Brett Dorey,03-10-1977,Australia,Australia,Right-hand bat,Right-arm fast-medium
Brett Geeves,13-06-1982,Australia,Australia,Right-hand bat,Right-arm fast-medium
Brett Lee,08-11-1976,Australia,Australia,Right-hand bat,Right-arm fast
Brett Schultz,26-08-1970,South Africa,South Africa,Left-hand bat,Left-arm fast
Brian Bolus,31-01-1934,England,England,Right-hand bat,Left-arm medium
Brian Booth,19-10-1933,Australia,Australia,Right-hand bat,"Right-arm medium, Off-break"
Brian Close,24-02-1931,England,England,Left-hand bat,"Right-arm medium, Off-break"
Brian Hastings,23-03-1940,New Zealand,New Zealand,Right-hand bat,Leg-break googly
Brian Lara,02-05-1969,Trinidad and Tobago,West Indies,Left-hand bat,Leg-break googly
Brian Luckhurst,05-02-1939,England,England,Right-hand bat,Slow left-arm
Brian McKechnie,06-11-1953,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Brian McMillan,22-12-1963,South Africa,South Africa,Right-hand bat,Right-arm medium-fast
Brian Murphy,01-12-1976,Zimbabwe,Zimbabwe,Right-hand bat,Leg-break googly
Brian Rose,04-06-1950,England,England,Left-hand bat,Left-arm medium
Brian Statham,17-06-1930,England,England,Left-hand bat,Right-arm fast-medium
Brian Taber,29-04-1940,Australia,Australia,Right-hand bat,Leg-break
Brian Vitori,22-02-1990,Zimbabwe,Zimbabwe,Left-hand bat,Left-arm fast-medium
Brighton Watambwa,09-06-1977,Zimbabwe,Zimbabwe,Right-hand bat,Right-arm fast-medium
Brijal Patel,14-11-1977,Kenya,Kenya,Right-hand bat,Slow left-arm
Brijesh Patel,24-11-1952,India,India,Right-hand bat,Off-break
Brooke Walker,25-03-1977,New Zealand,New Zealand,Right-hand bat,Leg-break
Bruce Blair,27-12-1957,New Zealand,New Zealand,Left-hand bat,Right-arm medium
Bruce Bolton,31-05-1935,New Zealand,New Zealand,Right-hand bat,Leg-break
Bruce Dooland,01-11-1923,Australia,Australia,Right-hand bat,Leg-break googly
Bruce Edgar,23-11-1956,New Zealand,New Zealand,Left-hand bat,Right-arm slow-medium
Bruce Francis,18-02-1948,Australia,Australia,Right-hand bat,Right-arm medium
Bruce French,13-08-1959,England,England,Right-hand bat,
Bruce Laird,21-11-1950,Australia,Australia,Right-hand bat,
Bruce Martin,25-04-1980,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Bruce Mitchell,08-01-1909,South Africa,South Africa,Right-hand bat,Leg-break
Bruce Morrison,17-12-1933,New Zealand,New Zealand,Left-hand bat,Right-arm medium
Bruce Murray,18-09-1940,New Zealand,New Zealand,Right-hand bat,Leg-break
Bruce Pairaudeau,14-04-1931,Guyana,West Indies,Right-hand bat,Leg-break googly
Bruce Patterson,29-01-1965,Scotland,Scotland,Right-hand bat,
Bruce Reid,14-03-1963,Australia,Australia,Left-hand bat,Left-arm fast-medium
Bruce Taylor,12-07-1943,New Zealand,New Zealand,Left-hand bat,Right-arm fast-medium
Bruce Yardley,05-09-1947,Australia,Australia,Right-hand bat,"Right-arm fast-medium, Right-arm medium, Off-break"
Brun Smith,13-03-1922,New Zealand,New Zealand,Right-hand bat,Off-break
Bryan Andrews,04-04-1945,New Zealand,New Zealand,Right-hand bat,Right-arm medium
Bryan Davis,02-05-1940,Trinidad and Tobago,West Indies,Right-hand bat,Off-break
Bryan Mauricette,04-09-1946,St Lucia,Canada,Right-hand bat,
Bryan Strang,09-06-1972,Zimbabwe,Zimbabwe,Right-hand bat,Left-arm medium-fast
Bryan Valentine,17-01-1908,England,England,Right-hand bat,Right-arm medium
Bryan Young,03-11-1964,New Zealand,New Zealand,Right-hand bat,
Bryan Yuile,29-10-1941,New Zealand,New Zealand,Right-hand bat,Slow left-arm
Bryce McGain,25-03-1972,Australia,Australia,Right-hand bat,Leg-break googly
Buddy Oldfield,05-05-1911,England,England,Right-hand bat,
Budhi Kunderan,02-10-1939,India,India,Right-hand bat,Right-arm medium
Bunny Butler,09-02-1929,Trinidad and Tobago,West Indies,Right-hand bat,Right-arm fast-medium
Bunny Lucas,20-02-1857,England,England,Right-hand bat,Right-arm slow roundarm
Burton van Rooi,09-07-1982,Namibia,Namibia,Right-hand bat,Right-arm medium
Buster Farrer,08-12-1936,South Africa,South Africa,Right-hand bat,Off-break
Buster Nupen,01-01-1902,Norway,South Africa,Right-hand bat,Right-arm fast-medium
Butch White,14-12-1935,England,England,Left-hand bat,Right-arm fast
Callum Ferguson,21-11-1984,Australia,Australia,Right-hand bat,Right-arm medium
Calum MacLeod,15-11-1988,Scotland,Scotland,Right-hand bat,Right-arm medium-fast
Calvert Hooper,10-08-1982,St Vincent and the Grenadines,Canada,Right-hand bat,Right-arm fast-medium
Calvin Burnett,23-10-1990,Scotland,Scotland,Left-hand bat,Right-arm medium-fast
Cameron Borgas,01-09-1983,Australia,Australia,Right-hand bat,Off-break
Cameron Cuffy,08-02-1970,St Vincent and the Grenadines,West Indies,Right-hand bat,Right-arm fast
Cameron White,18-08-1983,Australia,Australia,Right-hand bat,Leg-break googly
Cammie Smith,29-07-1933,Barbados,West Indies,Right-hand bat,
Carl Bulfin,19-08-1973,New Zealand,New Zealand,Right-hand bat,Right-arm fast-medium
Carl Hooper,15-12-1966,Guyana,West Indies,Right-hand bat,Off-break
Carl Rackemann,03-06-1960,Australia,Australia,Right-hand bat,Right-arm fast
Carl Tuckett,18-05-1970,St Kitts and Nevis,West Indies,Right-hand bat,Right-arm fast-medium
Carlisle Best,14-05-1959,Barbados,West Indies,Right-hand bat,"Right-arm medium, Off-break"
Carlos Brathwaite,18-07-1988,Barbados,West Indies,Right-hand bat,Right-arm fast-medium
Carlton Baugh,23-06-1982,Jamaica,West Indies,Right-hand bat,Leg-break googly
CB Fry,25-04-1872,England,England,Right-hand bat,Right-arm fast-medium
CD Gopinath,01-03-1930,India,India,Right-hand bat,"Right-arm medium, Off-break"
Cec Dixon,12-02-1891,South Africa,South Africa,Right-hand bat,Right-arm medium
Cecil Marshall,13-09-1939,Trinidad and Tobago,Canada,Right-hand bat,Right-arm medium
Cecil Parkin,18-02-1886,England,England,Right-hand bat,"Off-break, Leg-break"
